car_name,length,width,height
Acura Integra 1994 Sports Coupe 1.8i VTEC GS-R (DB8), 438 cm or 172.44 inches , 171 cm or 67.32 inches , 133.8 cm or 52.68 inches 
Acura EL (MB4) 1.6 Auto, 447.8 cm or 176.3 inches , 170.4 cm or 67.09 inches , 139.4 cm or 54.88 inches 
Acura Integra 1994 Sports Coupe 1.8i, 438 cm or 172.44 inches , 171 cm or 67.32 inches , 133.8 cm or 52.68 inches 
Acura EL (MB4) 1.6, 447.8 cm or 176.3 inches , 170.4 cm or 67.09 inches , 139.4 cm or 54.88 inches 
Acura EL (MB4) 1.6 Auto, 447.8 cm or 176.3 inches , 170.4 cm or 67.09 inches , 139.4 cm or 54.88 inches 
Acura EL (MB4) 1.6, 447.8 cm or 176.3 inches , 170.4 cm or 67.09 inches , 139.4 cm or 54.88 inches 
Acura RL (KA9) , 499.5 cm or 196.65 inches , 182.2 cm or 71.73 inches , 138.5 cm or 54.53 inches 
Acura RL (KA9) , 499.5 cm or 196.65 inches , 182.2 cm or 71.73 inches , 138.5 cm or 54.53 inches 
Acura RL (KA9) , 495.5 cm or 195.08 inches , 182.2 cm or 71.73 inches ," 143.5 cm or 56.5 inches "
Acura CL (YA1) 3.0 V6, 482.6 cm or 190 inches , 178.1 cm or 70.12 inches , 138.9 cm or 54.69 inches 
Acura CL (YA1) 2.3 Auto, 482.6 cm or 190 inches , 178.1 cm or 70.12 inches , 138.9 cm or 54.69 inches 
Acura CL (YA1) 2.3, 482.6 cm or 190 inches , 178.1 cm or 70.12 inches , 138.9 cm or 54.69 inches 
Acura CL (YA1) 3.0 V6, 482.6 cm or 190 inches , 178.1 cm or 70.12 inches , 138.9 cm or 54.69 inches 
Acura CL (YA1) 2.3, 482.6 cm or 190 inches , 178.1 cm or 70.12 inches , 138.9 cm or 54.69 inches 
Acura CL (YA1) 2.3 Auto, 482.6 cm or 190 inches , 178.1 cm or 70.12 inches , 138.9 cm or 54.69 inches 
Acura CL (YA1) 2.2 Auto, 482.6 cm or 190 inches , 178.1 cm or 70.12 inches , 138.9 cm or 54.69 inches 
Acura CL (YA1) 2.2, 482.6 cm or 190 inches , 178.1 cm or 70.12 inches , 138.9 cm or 54.69 inches 
Acura CL (YA1) 3.0 V6, 482.6 cm or 190 inches , 178.1 cm or 70.12 inches , 138.9 cm or 54.69 inches 
Acura TL II 3.2, 489 cm or 192.52 inches , 179.3 cm or 70.59 inches , 136.4 cm or 53.7 inches 
